edited_name,PrimaryTrentepohliales
Lecanora_expallens,0
Lecanora_farinacea,0
Lecanora_filamentosa,0
Lecanora_flavoleprosa,0
Lecanora_flavopallida,0
Lecanora_flotowiana,0
Lecanora_fuscescens,0
Lecanora_fuscobrunnea,0
Lecanora_gangaleoides,0
Lecanora_garovaglii,0
Lecanora_glabrata,0
Lecanora_hagenii,0
Lecanora_helva,0
Lecanora_horiza,0
Lecanora_hybocarpa,0
Lecanora_hyperboreorum,0
Lecanora_imshaugii,0
Lecanora_intricata,0
Lecanora_intumescens,0
Lecanora_laxa,0
Lecanora_leproplaca,0
Lecanora_leprosa,0
Lecanora_leptyrodes,0
Lecanora_lividocinerea,0
Lecanora_lojkaeana,0
Lecanora_macrocyclos,0
Lecanora_muralis,0
Lecanora_nashii,0
Lecanora_nothocaesiella,0
Lecanora_novomexicana,0
Lecanora_opiniconensis,0
Lecanora_orosthea,0
Lecanora_pacifica,0
Lecanora_paramerae,0
Lecanora_perpruinosa,0
Lecanora_phaedrophthalma,0
Lecanora_phaeocardia,0
Lecanora_phryganitis,0
Lecanora_plumosa,0
Lecanora_polytropa,0
Lecanora_populicola,0
Lecanora_pringlei,0
Lecanora_pruinosa,0
Lecanora_pulicaris,0
Lecanora_queenslandica,0
Lecanora_reuteri,0
Lecanora_rugosella,0
Lecanora_rupicola,0
Lecanora_saligna,0
Lecanora_schizochromatica,0
Lecanora_semipallida,0
Lecanora_sorediomarginata,0
Lecanora_straminea,0
Lecanora_subcarnea,0
Lecanora_subcarpinea,0
Lecanora_subimmergens,0
Lecanora_subimmersa,0
Lecanora_subintricata,0
Lecanora_subrugosa,0
Lecanora_sulphurea,0
Lecanora_swartzii,0
Lecanora_symmicta,0
Lecanora_thysanophora,0
Lecanora_toroyensis,0
Lecanora_tropica,0
Lecanora_ulrikii,0
Lecanora_vainioi,0
Lecanora_valesiaca,0
Lecanora_varia,0
Lecanora_wilsonii,0
Lecidea_hercynica,0
Lecidea_leprarioides,0
Lecidea_polytrichina,0
Lecidea_pullata,0
Lecidea_turgidula,0
Lecidella_carpathica,0
Lecidella_elaeochroma,0
Lecidella_euphorea,0
Lecidella_flavosorediata,0
Lecidella_greenii,0
Lecidella_meiococca,0
Lecidella_patavina,0
Lecidella_siplei,0
Lecidella_stigmatea,0
Lecidella_wulfenii,0
Lepraria_flavescens,0
Rhizoplaca_aspidophora,0
Rhizoplaca_bullata,0
Rhizoplaca_chrysoleuca,0
Rhizoplaca_haydenii,0
Rhizoplaca_huashanensis,0
Rhizoplaca_idahoensis,0
Rhizoplaca_macleanii,0
Rhizoplaca_melanophthalma,0
Rhizoplaca_occulta,0
Rhizoplaca_parilis,0
Rhizoplaca_peltata,0
Rhizoplaca_polymorpha,0
Rhizoplaca_porterii,0
Rhizoplaca_shushanii,0
Rhizoplaca_subdiscrepans,0
Lecidea_hypopta,0
Lecidea_nylanderi,0
Lecidea_roseotincta,0
Lecidea_rubrocastanea,0
Lecidea_cyrtidia,0
Lecidea_floridensis,0
Malmidea_aurigera,0
Malmidea_bakeri,0
Malmidea_chrysostigma,0
Malmidea_coralliformis,0
Malmidea_eeuuae,0
Malmidea_inflata,0
Malmidea_perplexa,0
Malmidea_piperis,0
Malmidea_rhodopsis,0
Malmidea_subaurigera,0
Malmidea_variabilis,0
Savoronala_madagascariensis,0
Miriquidica_complanata,0
Miriquidica_garovaglii,0
Miriquidica_instrata,0
Miriquidica_leucophaea,0
Calvitimela_armeniaca,0
Calvitimela_melaleuca,0
Lecidea_aglaea,0
Mycoblastus_affinis,0
Mycoblastus_alpinus,0
Mycoblastus_fucatus,0
Mycoblastus_glabrescens,0
Mycoblastus_japonicus,0
Mycoblastus_sanguinarioides,0
Mycoblastus_sanguinarius,0
Tephromela_atra,0
Tephromela_grumosa,0
Tephromela_pertusarioides,0
Violella_fucata,0
Violella_wangii,0
Alectoria_imshaugii,0
Alectoria_ochroleuca,0
Alectoria_sarmentosa,0
Alectoria_vancouverensis,0
Allantoparmelia_alpicola,0
Anzia_colpodes,0
Anzia_colpota,0
Anzia_flavotenuis,0
Anzia_formosana,0
Anzia_hypoleucoides,0
Anzia_mahaeliyensis,0
Anzia_opuntiella,0
Arctoparmelia_centrifuga,0
Asahinea_chrysantha,0
Brodoa_atrofusca,0
Brodoa_intestiniformis,0
Brodoa_oroarctica,0
Bryocaulon_divergens,0
Bryoria_americana,0
Bryoria_bicolor,0
Bryoria_capillaris,0
Bryoria_confusa,0
Bryoria_divergescens,0
Bryoria_fastigiata,0
Bryoria_fremontii,0
Bryoria_furcellata,0
Bryoria_fuscescens,0
Bryoria_glabra,0
Bryoria_hengduanensis,0
Bryoria_implexa,0
Bryoria_indonesica,0
Bryoria_lactinea,0
Bryoria_lanestris,0
Bryoria_nadvornikiana,0
Bryoria_nitidula,0
Bryoria_perspinosa,0
Bryoria_poeltii,0
Bryoria_rigida,0
Bryoria_simplicior,0
Bryoria_smithii,0
Bryoria_subcana,0
Bryoria_tenuis,0
Bryoria_tortuosa,0
Bryoria_trichodes,0
Bryoria_variabilis,0
Cavernularia_hultenii,0
Cavernularia_lophyrea,0
Ahtiana_aurescens,0
Ahtiana_pallidula,0
Ahtiana_sphaerosporella,0
Allocetraria_ambigua,0
Allocetraria_flavonigrescens,0
Allocetraria_globulans,0
Allocetraria_madreporiformis,0
