Tip_label f
Cavernularia_hultenii 0.18
Cavernularia_lophyrea 0.18
Ahtiana_aurescens 0.18
Ahtiana_pallidula 0.18
Ahtiana_sphaerosporella 0.18
Allocetraria_ambigua 0.18
Allocetraria_flavonigrescens 0.18
Allocetraria_globulans 0.18
Allocetraria_madreporiformis 0.18
Allocetraria_sinensis 0.18
Allocetraria_stracheyi 0.18
Arctocetraria_andrejevii 0.18
Arctocetraria_nigricascens 0.18
Cetraria_aculeata 0.18
Cetraria_annae 0.18
Cetraria_arenaria 0.18
Cetraria_australiensis 0.18
Cetraria_crespoae 0.18
Cetraria_ericetorum 0.18
Cetraria_islandica 0.18
Cetraria_kamtczatica 0.18
Cetraria_laevigata 0.18
Cetraria_muricata 0.18
Cetraria_nigricans 0.18
Cetraria_obtusata 0.18
Cetraria_odontella 0.18
Cetraria_sepincola 0.18
Cetrariella_commixta 0.18
Cetrariella_delisei 0.18
Cetrariella_fastigiata 0.18
Cetreliopsis_asahinae 0.18
Cetreliopsis_laeteflava 0.18
Cetreliopsis_rhytidocarpa 0.18
Dactylina_arctica 0.18
Esslingeriana_idahoensis 0.18
Flavocetraria_cucullata 0.18
Flavocetraria_minuscula 0.18
Flavocetraria_nivalis 0.18
Kaernefeltia_californica 0.18
Kaernefeltia_merrillii 0.18
Masonhalea_inermis 0.18
Masonhalea_richardsonii 0.18
Melanelia_hepatizon 0.18
Melanelia_sorediella 0.18
Melanelia_stygia 0.18
Nephromopsis_ahtii 0.18
Nephromopsis_komarovii 0.18
Nephromopsis_laureri 0.18
Nephromopsis_leucostigma 0.18
Nephromopsis_melaloma 0.18
Nephromopsis_morrisonicola 0.18
Nephromopsis_nephromoides 0.18
Nephromopsis_ornata 0.18
Nephromopsis_pallescens 0.18
Nephromopsis_pseudocomplicata 0.18
Nephromopsis_stracheyi 0.18
Tuckermanella_coralligera 0.18
Tuckermanella_fendleri 0.18
Tuckermanella_weberi 0.18
Tuckermannopsis_americana 0.18
Tuckermannopsis_chlorophylla 0.18
Tuckermannopsis_ciliaris 0.18
Tuckermannopsis_orbata 0.18
Tuckermannopsis_platyphylla 0.18
Tuckermannopsis_subalpina 0.18
Usnocetraria_oakesiana 0.18
Vulpicida_canadensis 0.18
Vulpicida_juniperinus 0.18
Vulpicida_pinastri 0.18
Vulpicida_tilesii 0.18
Vulpicida_tubulosus 0.18
Vulpicida_viridis 0.18
Coelopogon_abraxas 0.18
Coelopogon_epiphorellus 0.18
Cornicularia_normoerica 0.18
Evernia_divaricata 0.18
Evernia_esorediosa 0.18
Evernia_mesomorpha 0.18
Evernia_prunastri 0.18
Everniopsis_trulla 0.18
Gowardia_arctica 0.18
Gowardia_nigricans 0.18
Himantormia_deusta 0.18
Himantormia_lugubris 0.18
Hypogymnia_antarctica 0.18
Hypogymnia_apinnata 0.18
Hypogymnia_austerodes 0.18
Hypogymnia_duplicata 0.18
Hypogymnia_enteromorpha 0.18
Hypogymnia_farinacea 0.18
Hypogymnia_flavida 0.18
Hypogymnia_fujisanensis 0.18
Hypogymnia_gracilis 0.18
Hypogymnia_hypotrypa 0.18
Hypogymnia_imshaugii 0.18
Hypogymnia_inactiva 0.18
Hypogymnia_incurvoides 0.18
Hypogymnia_krogiae 0.18
Hypogymnia_lugubris 0.18
Hypogymnia_macrospora 0.18
Hypogymnia_metaphysodes 0.18
Hypogymnia_minilobata 0.18
Hypogymnia_mollis 0.18
Hypogymnia_occidentalis 0.18
Hypogymnia_physodes 0.18
Hypogymnia_pruinosa 0.18
Hypogymnia_pulverata 0.18
Hypogymnia_subduplicata 0.18
Hypogymnia_subphysodes 0.18
Hypogymnia_tubulosa 0.18
Hypogymnia_vittata 0.18
Imshaugia_aleurites 0.18
Letharia_columbiana 0.18
Letharia_vulpina 0.18
Lethariella_canariensis 0.18
Lethariella_cashmeriana 0.18
Lethariella_sernanderi 0.18
Lethariella_togashii 0.18
Menegazzia_confusa 0.18
Menegazzia_myriotrema 0.18
Menegazzia_subsimilis 0.18
Menegazzia_terebrata 0.18
Nodobryoria_abbreviata 0.18
Nodobryoria_oregana 0.18
Omphalodium_pisacomense 0.18
Omphalora_arizonica 0.18
Oropogon_americanus 0.18
Oropogon_atranorinus 0.18
Oropogon_bicolor 0.18
Oropogon_caespitosus 0.18
Oropogon_colibor 0.18
Oropogon_granulosus 0.18
Oropogon_lopezii 0.18
Oropogon_lorobic 0.18
Oropogon_loxensis 0.18
Oropogon_mexicanus 0.18
Oropogon_sperlingii 0.18
Pannoparmelia_angustata 0.18
Almbornia_azaniensis 0.18
Almbornia_cafferensis 0.18
Austroparmelina_conlabrosa 0.18
Austroparmelina_endoleuca 0.18
Austroparmelina_labrosa 0.18
Austroparmelina_macrospora 0.18
Austroparmelina_pruinata 0.18
Austroparmelina_pseudorelicina 0.18
Bulbothrix_apophysata 0.18
Bulbothrix_coronata 0.18
Bulbothrix_decurtata 0.18
